"","glpk","ecos","scs","lpsolve"
"5117",0,4.83409735051885e-14,3.48768093717732e-11,0
"8001",0,4.87797775838407e-14,-2.30099048901732e-10,0
"12021",0,4.84410016589909e-14,-1.63790806467886e-10,0
"13061",0,4.83242733714176e-14,1.388579313171e-10,0
"13145",0,4.85706629668347e-14,-2.07267551146411e-10,0
"13193",0,4.83783304274598e-14,-9.78808954079172e-11,0
"19051",0,4.83220309716297e-14,1.36988592343306e-10,0
"16049",0,4.83168634891463e-14,1.32584114570769e-10,0
"17007",0,4.83610157802732e-14,-5.71734546336419e-11,0
"18083",0,4.8349703065661e-14,-1.49997237604816e-11,0
"18085",0,4.83884477057007e-14,-1.14442377561161e-10,0
"20069",0,4.83207341569301e-14,1.35900231629791e-10,0
"20147",0,4.83203689832927e-14,1.3559513364537e-10,0
"21117",0,5.07546517705424e-14,-2.99173025189127e-10,0
"21191",0,4.8380690347871e-14,-1.02100804952533e-10,0
"26079",0,4.83480225484544e-14,-6.9352217469325e-12,0
"27073",0,4.83214131078359e-14,1.36478822238583e-10,0
"29073",0,4.83738177848733e-14,-8.90837984108647e-11,0
"29127",0,4.84521184111065e-14,-1.70129387969996e-10,0
"28049",0,4.85086517610453e-14,-1.92644648011076e-10,0
"28065",0,4.83193385888174e-14,1.34713952925575e-10,0
"30039",0,4.83145762673557e-14,1.30589201465842e-10,0
"38031",0,4.83172109540739e-14,1.32886252152677e-10,0
"31079",0,4.85049349081005e-14,-1.91515060651419e-10,0
"34017",0,5.38618498587224e-14,-3.21873892135912e-10,0
"32003",0,5.63840106367456e-14,-3.35287639419285e-10,0
"39023",0,4.84749536333509e-14,-1.80815760019206e-10,0
"39083",0,4.83669399834571e-14,-7.34500335347962e-11,0
"40095",0,4.83372955600818e-14,6.39755108076952e-11,0
"42069",0,4.89250071466318e-14,-2.37271041466296e-10,0
"42101",0,9.3367288994154e-14,-3.74973026322821e-10,0
"72081",0,4.83190642268773e-14,1.34476642488395e-10,0
"45021",0,4.85890915340347e-14,-2.10496350846845e-10,0
"45041",0,4.89893708130401e-14,-2.3948525787418e-10,0
"46017",0,4.83143358169673e-14,1.30369178776205e-10,0
"47123",0,4.84007010604458e-14,-1.30230268791943e-10,0
"47139",0,4.83396244336074e-14,4.48194928483921e-11,0
"48077",0,4.83152783104506e-14,1.31200060894142e-10,0
"48137",0,4.83133284459973e-14,1.29477977423594e-10,0
"48143",0,4.83218374760651e-14,1.36830243608163e-10,0
"48177",0,4.83168692305523e-14,1.32588638155911e-10,0
"48297",0,4.83150870187582e-14,1.31031799571567e-10,0
"48311",0,4.83131302620312e-14,1.29300180573219e-10,0
"48399",0,4.83148852170093e-14,1.30857229594854e-10,0
"48435",0,4.83136430777636e-14,1.29760510603078e-10,0
"51600",0,4.85614554217999e-14,-2.05497231838113e-10,0
"51610",0,4.84397205003291e-14,-1.63002602067263e-10,0
"51800",0,5.0033400674454e-14,-2.8526170980585e-10,0
"53001",0,4.83207781786975e-14,1.35941280106751e-10,0
"54069",0,4.83702576798755e-14,-8.13706206969253e-11,0
"29205",0,4.83345627325171e-14,9.04683217972379e-11,0
"28121",0,4.84357928856462e-14,-1.60496926924453e-10,0
"37003",0,4.83700133520145e-14,-8.08091309032746e-11,0
"37031",0,4.83781280284813e-14,-9.75091128553712e-11,0
"37159",0,4.8584580153551e-14,-2.09739167968484e-10,0
"31027",0,4.83331602967055e-14,1.06193130479038e-10,0
"31135",0,4.83181144272702e-14,1.33666045235375e-10,0
"33003",0,4.83789333003819e-14,-9.89830749876739e-11,0
"35001",0,4.88866465377969e-14,-2.35716904627896e-10,0
"36065",0,4.85165868060559e-14,-1.94939951131576e-10,0
"39021",0,4.83493239301622e-14,-1.3231190942747e-11,0
"39121",0,4.83233599254464e-14,1.38105079444644e-10,0
"39127",0,4.83427249286983e-14,2.30444604518668e-11,0
"39153",0,4.91662268462108e-14,-2.45036014228191e-10,0
"42075",0,4.86959766451773e-14,-2.23668110367829e-10,0
"72049",0,4.83134125742879e-14,1.29554063748062e-10,0
"72107",0,4.83179749214368e-14,1.3354485454782e-10,0
"45059",0,4.86708356476967e-14,-2.21205700387099e-10,0
"45063",0,5.19251739500396e-14,-3.11433169109439e-10,0
"47001",0,4.84880112942378e-14,-1.85856625211141e-10,0
"47137",0,4.83234696040468e-14,1.38191139445884e-10,0
"48027",0,4.8403251331632e-14,-1.33069635199658e-10,0
"48185",0,4.83191210703845e-14,1.34533212606856e-10,0
"48279",0,4.83153100912535e-14,1.31228025192503e-10,0
"48317",0,4.83139921378832e-14,1.30069702408689e-10,0
"49047",0,4.83244000752969e-14,1.38965740322977e-10,0
"51041",0,1.04311190842015e-13,-3.78469761942864e-10,0
"51770",0,5.19256281341438e-14,-3.1143615754278e-10,0
"50019",0,4.8527893868617e-14,-1.97956252277859e-10,0
"53071",0,4.83380530770643e-14,5.74437676813811e-11,0
"55049",0,4.8345082280781e-14,8.74042575570827e-12,0
"54013",0,4.83223355028224e-14,1.37246761848716e-10,0
"54085",0,4.83255565342118e-14,1.39918297662174e-10,0
"54101",0,4.83228244209996e-14,1.3765344171426e-10,0
"2180",0,4.831412001688e-14,1.3018081528187e-10,0
"5061",0,4.83492813322629e-14,-1.30301014090271e-11,0
"6013",0,4.87506771846447e-14,-2.28123810221376e-10,0
"6113",0,4.83649039096941e-14,-6.81898482294463e-11,0
"8049",0,4.8319922166044e-14,1.35215762630321e-10,0
"8081",0,4.83183178940142e-14,1.33844643709242e-10,0
"12119",0,4.83605101070473e-14,-5.56339367477124e-11,0
"13057",0,6.4658345271695e-14,-3.5398297267364e-10,0
"13117",0,6.14186376084175e-14,-3.48932815287478e-10,0
"13159",0,4.83975224797613e-14,-1.26496369336667e-10,0
"13183",0,4.83960150833846e-14,-1.24641192638866e-10,0
"19017",0,4.83368933772686e-14,6.75607970112142e-11,0
"19091",0,4.83205377383238e-14,1.35739062295245e-10,0
"17195",0,4.83611260718442e-14,-5.75010942435641e-11,0
"18063",0,4.85353517959891e-14,-1.99799763169455e-10,0
"18117",0,4.83334468821229e-14,1.02837393240164e-10,0
"20033",0,4.8315301654546e-14,1.31223699928915e-10,0
"20041",0,4.83456388856048e-14,5.6075614901698e-12,0
"20177",0,4.90225452360586e-14,-2.4046937887114e-10,0
"21231",0,4.84576568609549e-14,-1.72980536071496e-10,0
"22063",0,4.84666341779589e-14,-1.77233820364198e-10,0
"22079",0,4.84431373719392e-14,-1.65079644950923e-10,0
"23029",0,4.83330095419004e-14,1.07967562721637e-10,0
"26057",0,4.84269670865183e-14,-1.54348254526536e-10,0
"29081",0,4.83385713545807e-14,5.31436224101657e-11,0
"1091",0,4.83726621975935e-14,-8.66601716215185e-11,0
"1097",0,5.30611458206279e-14,-3.18390861575043e-10,0
"8089",0,4.83219525334785e-14,1.36927668019151e-10,0
"8101",0,4.84117731425829e-14,-1.41680958084727e-10,0
"9007",0,4.83844317230125e-14,-1.08324593760628e-10,0
"12019",0,4.84118052448911e-14,-1.41711422132199e-10,0
"12085",0,4.8361011540675e-14,-5.71590410890639e-11,0
"13059",0,5.08842491100553e-14,-3.00971438005617e-10,0
"19043",0,4.83306494321387e-14,1.39053158096319e-10,0
"19045",0,4.83729793210519e-14,-8.73389948344704e-11,0
"17027",0,4.83487602507734e-14,-1.05431433575413e-11,0
"20031",0,4.83281979567488e-14,1.4206417443989e-10,0
"21225",0,4.83789483611969e-14,-9.90130695853683e-11,0
"22127",0,4.83241961137351e-14,1.38801867274699e-10,0
"23019",0,4.84402197066218e-14,-1.63310075550694e-10,0
"26119",0,4.8329355616393e-14,1.42996414865137e-10,0
"26133",0,4.83659069720744e-14,-7.0821081346599e-11,0
"26159",0,4.86224823350264e-14,-2.15477185196721e-10,0
"29119",0,4.8382355541831e-14,-1.04936698601009e-10,0
"28103",0,4.83207484557297e-14,1.3590823788528e-10,0
"30041",0,4.83213947585832e-14,1.3645944129065e-10,0
"30077",0,4.83162663706121e-14,1.32065629465309e-10,0
"37119",0,6.01629870443812e-14,-3.46408865803004e-10,0
"38055",0,4.83244648668622e-14,1.39019421810794e-10,0
"31023",0,4.83328421186566e-14,1.09984282275914e-10,0
"34037",0,4.8686140089004e-14,-2.22740000046162e-10,0
"36053",0,4.83628250433044e-14,-6.24698663231543e-11,0
"36073",0,4.83445859028662e-14,1.16104712038112e-11,0
"39027",0,4.83547850168823e-14,-3.61851856108018e-11,0
"40057",0,4.83161203639819e-14,1.31938051033516e-10,0
"72141",0,4.83198334577897e-14,1.35139496530615e-10,0
"72153",0,4.83214046742152e-14,1.36464991579017e-10,0
"46011",0,4.83421479839503e-14,2.68154846969886e-11,0
"47075",0,4.83317156515959e-14,1.24270907419399e-10,0
"47187",0,4.92349790834817e-14,-2.50530385725249e-10,0
"48121",0,4.86582312083348e-14,-2.19851132918541e-10,0
"48271",0,4.83135988734771e-14,1.29720917190575e-10,0
"48451",0,4.83353747068929e-14,8.2070076718138e-11,0
"48457",0,4.83180631492291e-14,1.33619103389923e-10,0
"49041",0,4.83191486154046e-14,1.34554269821114e-10,0
"51037",0,4.8421044366918e-14,-1.49758732887848e-10,0
"51087",0,8.90058335955494e-14,-3.73331057550703e-10,0
"51143",0,4.95822556275654e-14,-2.70214657317416e-10,0
"51187",0,4.89148837109891e-14,-2.36880457915015e-10,0
"51660",0,4.93423838921729e-14,-2.57830315656196e-10,0
"53033",0,5.19137826199403e-14,-3.11345511390741e-10,0
"55017",0,4.83844001156587e-14,-1.08275403779152e-10,0
"55085",0,4.83487262125268e-14,-1.0383257813986e-11,0
"54097",0,4.83436415895852e-14,1.72794058831279e-11,0
"1009",0,4.87216261447779e-14,-2.25891276233643e-10,0
"5083",0,4.83825857934346e-14,-1.0532275132073e-10,0
"5103",0,4.83873630840643e-14,-1.12844374971936e-10,0
"5141",0,4.83716772253773e-14,-8.45341986523149e-11,0
"8011",0,4.83157770269573e-14,1.31641654542075e-10,0
"8023",0,4.83147004315497e-14,1.30693986969144e-10,0
"8067",0,4.83365065850966e-14,7.11152234791185e-11,0
"13001",0,4.83932608484739e-14,-1.21109111517826e-10,0
"13185",0,4.93173497389212e-14,-2.56249880786423e-10,0
"13223",0,5.37996072549491e-14,-3.21632788891011e-10,0
"13227",0,4.86664042457245e-14,-2.20740683070611e-10,0
"19031",0,4.8333900615184e-14,9.76859585411446e-11,0
"19163",0,4.86414020266663e-14,-2.17897327354645e-10,0
"19185",0,4.83188635521381e-14,1.34306336916876e-10,0
"17075",0,4.83402224169438e-14,4.03241880606611e-11,0
"18041",0,4.83340540563481e-14,9.59871373297131e-11,0
"20153",0,4.83161549975246e-14,1.31969112694206e-10,0
"20185",0,4.83190015252137e-14,1.34428477263845e-10,0
"21025",0,4.83644031619565e-14,-6.68491003823552e-11,0
"21053",0,4.8381725317011e-14,-1.03879078644436e-10,0
"21091",0,4.83591181256504e-14,-5.12623299989235e-11,0
"21167",0,4.84503188995811e-14,-1.69161860759165e-10,0
"22027",0,4.83261447504854e-14,1.40400314273139e-10,0
"22037",0,4.83289426169166e-14,1.42666568509677e-10,0
"22039",0,4.83391909484239e-14,4.81796411479277e-11,0
"26035",0,4.83862556290242e-14,-1.1117110742427e-10,0
"26081",0,6.2796931849557e-14,-3.51298133749001e-10,0
"29065",0,4.83756028647158e-14,-9.26902354126897e-11,0
"28081",0,4.84019403241358e-14,-1.3162699295527e-10,0
"30045",0,4.83140252945855e-14,1.30100193085784e-10,0
"30051",0,4.83141400316348e-14,1.30205842887791e-10,0
"37109",0,4.84689642121411e-14,-1.78269238562502e-10,0
"37149",0,4.83464214944201e-14,1.32889506082635e-12,0
"38075",0,4.83156098412341e-14,1.31494328270109e-10,0
"31029",0,4.83199667397104e-14,1.35250763524321e-10,0
"31053",0,4.84292152738274e-14,-1.55988734711435e-10,0
"31071",0,4.83170814376453e-14,1.32778295199954e-10,0
"31089",0,4.83350389570267e-14,8.54840148048894e-11,0
"31145",0,4.83343920865324e-14,9.22869904547251e-11,0
"34015",0,4.96303083327663e-14,-2.72226713680708e-10,0
"35015",0,4.83398707319314e-14,4.29440843912769e-11,0
"36037",0,4.8360548216193e-14,-5.57483951739636e-11,0
"39091",0,4.83556397098087e-14,-3.93505156217948e-11,0
"40001",0,4.83552968980854e-14,-3.8094697295882e-11,0
"40027",0,4.93024993098819e-14,-2.55280343096809e-10,0
"40109",0,5.5720727207984e-14,-3.32433669488944e-10,0
"40133",0,4.83517459952159e-14,-2.40486503624234e-11,0
"45037",0,4.8412428638305e-14,-1.42292690831007e-10,0
"46101",0,4.83182256542402e-14,1.33756548216577e-10,0
"47089",0,4.84042713919064e-14,-1.34170523854392e-10,0
"47109",0,4.83432906456377e-14,1.94511263044904e-11,0
"47127",0,4.83229763282789e-14,1.37781693482328e-10,0
"48037",0,4.83400138618501e-14,4.18715814708148e-11,0
"48097",0,4.8322633432755e-14,1.37499288494022e-10,0
"48189",0,4.83192134675871e-14,1.34606832580221e-10,0
"48393",0,4.8313179359256e-14,1.29342713195266e-10,0
"51083",0,4.87753496804701e-14,-2.29812518682429e-10,0
"53043",0,4.83172054606454e-14,1.32883670616952e-10,0
"53053",0,4.90079649742244e-14,-2.40048741164091e-10,0
"55013",0,4.8325982203895e-14,1.40264407991651e-10,0
"55031",0,4.83506780752613e-14,-1.94163910137671e-11,0
"55035",0,4.84470295259079e-14,-1.67335684775939e-10,0
"55047",0,4.83368719780561e-14,6.77695483384288e-11,0
"55141",0,4.84081315478778e-14,-1.38157131248145e-10,0
"54025",0,4.83588483612815e-14,-5.03872298738582e-11,0
"56011",0,4.83164749038613e-14,1.32249358997094e-10,0
"2185",0,4.83141977254744e-14,1.30252581036659e-10,0
"2068",0,4.83132717751906e-14,1.29428979707293e-10,0
"2130",0,4.83153107476257e-14,1.3122740400902e-10,0
"2220",0,4.83143103393942e-14,1.30346991665595e-10,0
"1083",0,4.94673867050594e-14,-2.64832555624345e-10,0
"1127",0,4.87220204810274e-14,-2.25926074695431e-10,0
"6039",0,4.83503474392801e-14,-1.79353340723561e-11,0
"6057",0,4.83355482058349e-14,8.03281215681875e-11,0
"8045",0,4.83387291537017e-14,5.18614402684424e-11,0
"8061",0,4.83137155587388e-14,1.29825161987721e-10,0
"8079",0,4.83133195460506e-14,1.2947296078729e-10,0
"9001",0,4.91981370055329e-14,-2.4767832657695e-10,0
"13079",0,4.83790524938362e-14,-9.91973524575434e-11,0
"13297",0,4.98019984248295e-14,-2.78505129805602e-10,0
"13313",0,5.13007504679753e-14,-3.05868386829831e-10,0
"19145",0,4.83250334341992e-14,1.39485221440139e-10,0
"17115",0,4.84362920463671e-14,-1.60823507091892e-10,0
"17171",0,4.83168973929815e-14,1.3261827848709e-10,0
"18053",0,4.83765627946441e-14,-9.45561329918685e-11,0
"20037",0,4.84035138828185e-14,-1.33356665029819e-10,0
"20055",0,4.83655322476296e-14,-6.98499884868406e-11,0
"22005",0,4.8442082065167e-14,-1.64445744791844e-10,0
"25011",0,4.85437273321829e-14,-2.01749111294405e-10,0
"27061",0,4.83742297729478e-14,-8.99320086921226e-11,0
"27075",0,4.83265406284301e-14,1.40729825988672e-10,0
"27157",0,4.83518289651946e-14,-2.43981921131268e-11,0
"29071",0,4.9270916940195e-14,-2.53131035232168e-10,0
"29107",0,4.84390432925485e-14,-1.62577898067356e-10,0
"29186",0,4.84018006536574e-14,-1.3147193099166e-10,0
"29215",0,4.84176852437184e-14,-1.46968791710976e-10,0
"28113",0,4.83348465769253e-14,8.74676984044187e-11,0
"28155",0,4.83201215303178e-14,1.35383620637153e-10,0
"30073",0,4.83158073571668e-14,1.31666120803103e-10,0
"37019",0,4.84937413831325e-14,-1.87872407197567e-10,0
"37073",0,4.83231474408425e-14,1.37924108726057e-10,0
"38017",0,4.8824042226976e-14,-2.32697182010085e-10,0
"38065",0,4.83153717038341e-14,1.31285343243454e-10,0
"31011",0,4.83246929233275e-14,1.39203626294534e-10,0
"31047",0,4.83663028158317e-14,-7.18374247352736e-11,0
"31115",0,4.8314317158128e-14,1.30355391079511e-10,0
"35006",0,4.83236453116631e-14,1.38344462091967e-10,0
"32011",0,4.83140303003017e-14,1.30108296401489e-10,0
"39049",0,5.5059270209332e-14,-3.29144374612463e-10,0
"40049",0,4.83549629177832e-14,-3.68497218510095e-11,0
"40053",0,4.83192553261111e-14,1.34640040339131e-10,0
"41023",0,4.83145097800083e-14,1.30524394530709e-10,0
"45013",0,4.94524727082728e-14,-2.64066357705139e-10,0
"46021",0,4.83138442755855e-14,1.29938534664769e-10,0
"46089",0,4.83145045049282e-14,1.30527980927112e-10,0
"48043",0,4.83143680947295e-14,1.30403550005933e-10,0
"48299",0,4.83170612734775e-14,1.32760119498329e-10,0
"48371",0,4.83154845068727e-14,1.31385161898276e-10,0
"48377",0,4.83139676078664e-14,1.30046479635568e-10,0
"51153",1.38777878078145e-16,3.20853443006898e-12,7.14422205673152e-08,0
"51183",0,4.83985557303084e-14,-1.27733870317602e-10,0
"53035",0,4.84367698863886e-14,-1.61130885896532e-10,0
"53065",0,4.83315226121597e-14,1.26831161726336e-10,0
"55093",0,4.83567776781027e-14,-4.34110908335671e-11,0
"55111",0,4.84092246179595e-14,-1.39237062076607e-10,0
"54033",0,4.84145322885178e-14,-1.4421295394018e-10,0
"56009",0,4.8319271788521e-14,1.3465690116891e-10,0
"56013",0,4.83290680875675e-14,1.42767398983535e-10,0
"1059",0,4.84744796538906e-14,-1.80621233563051e-10,0
"1113",0,4.86007496259196e-14,-2.12348540718202e-10,0
"4001",0,4.83345952899277e-14,9.0110075970729e-11,0
"4003",0,4.83495523208913e-14,-1.42995376089793e-11,0
"8039",0,4.83261373393615e-14,1.40391871444539e-10,0
"8065",0,4.83164785312933e-14,1.32253336247766e-10,0
"8109",0,4.83159008806558e-14,1.31750905230569e-10,0
"13115",0,5.05337680624442e-14,-2.957154017716e-10,0
"13245",0,5.25964314924962e-14,-3.1590444743195e-10,0
"19189",0,4.83211478301012e-14,1.36245359722628e-10,0
"16023",0,4.83136522096726e-14,1.29769502752583e-10,0
"16037",0,4.83140433158426e-14,1.30114072520306e-10,0
"17047",0,4.83196244608426e-14,1.3496356935963e-10,0
"17159",0,4.83293625390922e-14,1.43003028813954e-10,0
"18013",0,4.83271030490443e-14,1.41176317000845e-10,0
"18025",0,4.83242761927151e-14,1.38865355686254e-10,0
"20047",0,4.83168567231613e-14,1.32584320602771e-10,0
"20117",0,4.833028678448e-14,1.43741756619825e-10,0
"20189",0,4.83196436965793e-14,1.3498181531894e-10,0
"21007",0,4.83398345922596e-14,4.32215941361427e-11,0
"21061",0,4.83945547763642e-14,-1.2279548793204e-10,0
"22075",0,4.83315368564494e-14,1.26653557418262e-10,0
"26015",0,4.85333871295871e-14,-1.99325399351031e-10,0
"26041",0,4.83749249970018e-14,-9.13392677826574e-11,0
"27013",0,4.84502961971479e-14,-1.69147501630166e-10,0
"27109",0,4.88266428611416e-14,-2.32836937510713e-10,0
"28117",0,4.8336534323791e-14,7.08616453970844e-11,0
"28149",0,4.83405934549981e-14,3.76000063712791e-11,0
"31075",0,4.83140824683024e-14,1.30149237799581e-10,0
"31117",0,4.83138971804334e-14,1.29989256739407e-10,0
"33015",0,4.91516349725699e-14,-2.43769662515865e-10,0
"34003",0,5.98428980802577e-14,-3.45696432757228e-10,0
"36051",0,4.83649102996034e-14,-6.82058945550515e-11,0
"36117",0,4.83850717669234e-14,-1.09337706592657e-10,0
"39033",0,4.83476628552681e-14,-5.13132662530602e-12,0
"39165",0,4.86947881785741e-14,-2.23558752938035e-10,0
"40021",0,4.84161112930612e-14,-1.45610281986272e-10,0
"40083",0,4.83965089781198e-14,-1.25255423216129e-10,0
"40101",0,4.84623376131618e-14,-1.75251992913926e-10,0
"40137",0,4.83794782310839e-14,-9.99624531368726e-11,0
"42027",0,4.88644135106505e-14,-2.34720025378219e-10,0
"42091",0,5.63749973557426e-14,-3.35251371601747e-10,0
"72027",0,4.83206975831618e-14,1.35872557866125e-10,0
"72035",0,4.83235196708508e-14,1.3823521328263e-10,0
"72043",0,4.83225231296405e-14,1.37402996641897e-10,0
"72063",0,4.83247378654723e-14,1.39244465166688e-10,0
"72105",0,4.83197547276756e-14,1.35071881195731e-10,0
"72125",0,4.83205846200525e-14,1.35779638963176e-10,0
"46077",0,4.83166741941183e-14,1.32422342899005e-10,0
"46085",0,4.83155127745616e-14,1.31405244698163e-10,0
"46103",0,4.83921433528924e-14,-1.19623231446235e-10,0
"47007",0,4.83408707345624e-14,3.56136950953356e-11,0
"47035",0,4.8467885515253e-14,-1.77794078837343e-10,0
"47081",0,4.83522012187854e-14,-2.59579223453137e-11,0
"47145",0,4.84312862698045e-14,-1.57449482753944e-10,0
"48163",0,4.83164193930425e-14,1.32193916719453e-10,0
"48173",0,4.83132474349009e-14,1.29407716901413e-10,0
"48259",0,4.83216730853711e-14,1.36690559326136e-10,0
"48413",0,4.83134842179255e-14,1.29618819396717e-10,0
