"Date","FIPS","Completeness_pct","SVI_CTGY","Census2019","tVaccMi"
2022-05-14,"05021",90.5,"C",14551,392.978920613588
2022-05-14,"05039",90.5,"D",7009,574.311930277353
2022-05-14,"05137",90.5,"C",12506,492.049162827258
2022-05-14,"12071",98.7,"C",770577,825.708988731854
2022-05-14,"13039",89.4,"C",54666,558.892483810263
2022-05-14,"13087",89.4,"D",26404,506.465110407967
2022-05-14,"13133",89.4,"C",18324,363.710341865475
2022-05-14,"13219",89.4,"A",40280,340.680111403822
2022-05-14,"17185",98.3,"B",11520,265.527459315176
2022-05-14,"18093",98.6,"B",45370,246.028735114971
2022-05-14,"18155",98.6,"C",10751,245.097213951182
2022-05-14,"20145",93.6,"B",6414,764.998166886365
2022-05-14,"21135",94,"C",13275,282.536296242087
2022-05-14,"05013",90.5,"C",5189,580.20075520007
2022-05-14,"05117",90.5,"C",8062,489.37413334776
2022-05-14,"08001",97.1,"C",517421,1014.95183883494
2022-05-14,NA,98.3,"",NA,NA
2022-05-14,"12021",98.7,"B",384902,862.814746129964
2022-05-14,"13061",89.4,"D",2834,453.194957880366
2022-05-14,"13145",89.4,"A",35236,380.161208199267
2022-05-14,"13193",89.4,"D",12947,411.839164498276
2022-05-14,"19051",97.4,"B",9000,437.556727597713
2022-05-14,"16049",97.8,"C",16667,1576.58414431952
2022-05-14,"17007",98.3,"B",53544,357.041326611678
2022-05-14,"18083",98.6,"C",36594,255.469639263081
2022-05-14,"18085",98.6,"B",79456,295.382412314551
2022-05-14,"20069",93.6,"B",5988,833.246835237545
2022-05-14,"20147",93.6,"A",5234,763.601357260837
2022-05-14,"21117",94,"B",166998,255.637819377181
2022-05-14,"21191",94,"B",14590,254.852710095355
2022-05-14,"26079",95.1,"C",18038,459.851272778997
2022-05-14,"27073",94.6,"A",6623,716.352860813093
2022-05-14,"29073",91.3,"A",14706,408.299652489215
2022-05-14,"29127",91.3,"C",28530,400.893299649384
2022-05-14,"28049",98.1,"D",231840,548.372143742321
2022-05-14,"28065",98.1,"D",11128,558.451333426013
2022-05-14,"30039",95.8,"A",3379,1487.45348504921
2022-05-14,"38031",92.7,"A",3210,925.586305827616
2022-05-14,"31079",90.7,"C",61353,720.563527013929
2022-05-14,"34017",94,"C",672391,684.708739151057
2022-05-14,"32003",95,"C",2266715,1622.96668794203
2022-05-14,"39023",98.5,"C",134083,288.819005205245
2022-05-14,"39083",98.5,"B",62322,331.077803220594
2022-05-14,"40095",93.8,"D",16931,764.285451214406
2022-05-14,"42069",94.8,"C",209674,618.984629549637
2022-05-14,"42101",94.8,"D",1584064,628.391449996899
2022-05-14,"72081",97.3,"D",24276,1807.96061643771
2022-05-14,"45021",93.1,"C",57300,383.058325580178
2022-05-14,"45041",93.1,"D",138293,508.653516846044
2022-05-14,NA,93.1,"",NA,NA
2022-05-14,"46017",96.7,"D",1962,800.950247476414
2022-05-14,"47123",97.8,"C",46545,239.778017840309
2022-05-14,"47139",97.8,"B",16832,247.661440883159
2022-05-14,"48077",98.9,"B",10471,836.459773814925
2022-05-14,"48137",98.9,"B",1932,1086.0117205191
2022-05-14,"48143",98.9,"C",42698,896.883987374883
2022-05-14,"48177",98.9,"D",20837,984.286731153261
2022-05-14,"48297",98.9,"C",12207,1063.83069039455
2022-05-14,"48311",98.9,"D",743,1083.01187501398
2022-05-14,"48399",98.9,"C",10264,990.39870970363
2022-05-14,"48435",98.9,"C",3776,1070.18163321016
2022-05-14,"51600",79,"A",24019,527.004089587034
2022-05-14,"51610",79,"A",14617,533.525716787781
2022-05-14,"51800",79,"B",92108,595.856237224385
2022-05-14,"53001",96,"D",19983,1728.40474450489
2022-05-14,"54069",97.2,"B",41411,389.85414293323
2022-05-14,"29205",91.3,"B",5930,419.883547374733
2022-05-14,"28121",98.1,"B",155271,525.728167730177
2022-05-14,"37003",96.9,"C",37497,392.284144308129
2022-05-14,"37031",96.9,"B",69473,648.003466558827
2022-05-14,"37159",96.9,"D",142088,431.786297239741
2022-05-14,"31027",90.7,"A",8402,677.379455253425
2022-05-14,"31135",90.7,"A",2891,876.725830912662
2022-05-14,"33003",94.1,"A",48910,859.183785902743
2022-05-14,"35001",97,"C",679121,1205.35729067388
2022-05-14,"36065",97.6,"C",228671,663.310154125732
2022-05-14,"39021",98.5,"B",38885,293.60089907369
2022-05-14,"39121",98.5,"B",14424,354.167766968446
2022-05-14,"39127",98.5,"C",36134,327.516292130677
2022-05-14,"39153",98.5,"B",541013,374.940000158814
2022-05-14,"42075",94.8,"C",141793,569.246302155839
2022-05-14,"72049",97.3,"A",1714,1871.75580217468
2022-05-14,"72107",97.3,"D",20220,1829.05850783464
2022-05-14,NA,89,"",NA,NA
2022-05-14,"45059",93.1,"D",67493,376.561843319664
